kcrash5 5.116.0-2.1
kdav 1:6.27.0-1.1
kdbusaddons 6.27.0-1.1
kdbusaddons5 5.116.0-2.2
kddockwidgets 2.4.0-3.1
kde-cli-tools 6.7.1-1.1
kde-gtk-config 6.7.1-1.1
kdeclarative 6.27.0-1.1
kdeclarative5 5.116.0-2.1
kdeconnect 26.04.2-1.1
kdecoration 6.7.1-1.1
kded 6.27.0-1.1
kded5 5.116.0-2.1
kdegraphics-mobipocket 26.04.2-1.1
kdegraphics-thumbnailers 26.04.2-1.1
kdenlive 26.04.2-1.1
kdepim-addons 26.04.2-2.1
kdepim-runtime 26.04.2-2.1
kdeplasma-addons 6.7.1-1.1
kdesu 6.27.0-1.1
kdiagram 3.0.1-5.1
kdialog 26.04.2-1.1
kdnssd 6.27.0-1.1
kdsingleapplication 1.2.1-1.1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3.1
keyutils 1.6.3-4.1
kfilemetadata 6.27.0-1.1
kget 26.04.2-1.1
kglobalaccel 6.27.0-1.1
kglobalaccel5 5.116.0-2.1
kglobalacceld 6.7.1-1.1
kguiaddons 6.27.0-1.1
kguiaddons5 5.116.0-2.1
kholidays 1:6.27.0-1.1
ki18n 6.27.0-1.1
ki18n5 5.116.0-2.1
kiconthemes 6.27.0-1.1
kiconthemes5 5.116.0-2.1
kidentitymanagement 26.04.2-1.1
kidletime 6.27.0-1.1
kimageannotator 0.7.2-2
kimageformats 6.27.0-1.1
kimap 26.04.2-2.1
kinfocenter 6.7.1-1.1
kio 6.27.0-1.1
kio-admin 26.04.2-1.1
kio-extras 26.04.2-1.1
kio-fuse 5.1.1-2.1
kio-gdrive 26.04.2-1.1
kio5 5.116.0-6.1
kirigami 6.27.0-1.1
kirigami-addons 1.12.1-1.1
kirigami2 5.116.0-2.1
kitemmodels 6.27.0-1.1
kitemviews 6.27.0-1.1
kitemviews5 5.116.0-2.1
kitinerary 26.04.2-3.1
kitty 0.47.1-1.1
kitty-shell-integration 0.47.1-1.1
kitty-terminfo 0.47.1-1.1
kjobwidgets 6.27.0-1.1
kjobwidgets5 5.116.0-2.1
kldap 26.04.2-1.1
kmail-account-wizard 26.04.2-2.1
kmailtransport 26.04.2-1.1
kmbox 26.04.2-2.1
kmenuedit 6.7.1-1.1
kmime 1:6.27.0-2.1
kmod 34.2-1
knewstuff 6.27.0-1.1
knighttime 6.7.1-1.1
knotifications 6.27.0-1.1
knotifications5 5.116.0-3.1
knotifyconfig 6.27.0-1.1
konsole 26.04.2-1.1
kontact 26.04.2-1.1
kontactinterface 26.04.2-1.1
korganizer 26.04.2-2.1
kpackage 6.27.0-1.1
kpackage5 5.116.0-3.1
kparts 6.27.0-1.1
kpeople 6.27.0-1.1
kpimtextedit 26.04.2-1.1
kpipewire 6.7.1-1.1
kpkpass 26.04.2-1.1
kpmcore 26.04.2-1.1
kpty 6.27.0-1.1
kquickcharts 6.27.0-1.1
kquickimageeditor 0.6.2-1.1
krb5 1.22.2-1.1
krdc 26.04.2-1.1
krdp 6.7.1-1.1
krfb 26.04.2-1.1
krunner 6.27.0-1.1
kscreen 6.7.1-1.1
kscreenlocker 6.7.1-1.1
kservice 6.27.0-1.1
kservice5 5.116.0-3.3
ksmtp 26.04.2-1.1
kstatusnotifieritem 6.27.0-1.1
ksvg 6.27.0-1.1
ksystemstats 6.7.1-1.1
ktextaddons 2.1.0-1.1
ktexteditor 6.27.0-1.1
ktexttemplate 6.27.0-1.1
ktextwidgets 6.27.0-1.1
ktextwidgets5 5.116.0-2.1
ktnef 26.04.2-1.1
kunitconversion 6.27.0-1.1
kuserfeedback 6.27.0-1.1
kwallet 6.27.0-1.1
kwallet-pam 6.7.1-1.1
kwallet5 5.116.0-6.1
